-90,-45,0,45,90,-90,-45,0,45,90,-90,-45,0,45,90
776,988,798,911,830.5,750,867,852.5,983,1250,759,797,748,788,786
513,804,727.5,553,561,482,715,527,501.5,548,564,560.5,573,511.5,516
444.5,493,532,502.5,471,436,463,370,428,435.5,410,394,359,522,382
519,577.5,602,745,576.5,626,516,553,708,497,643,722,597.5,509,566.5
470,470,452.5,481.5,674.5,594.5,665.5,534,576,512,490,508.5,561,462,478
490,650,613,604,521,842.5,587,537,622,547,507,485,508.5,521.5,535
521,570,599.5,621,476.5,500,551,513,550,514.5,567,611,620,682,549
561,666,534,519.5,556.5,564,733.5,563.5,546.5,575.5,736,641.5,568.5,844.5,623
490,544,503,469,523.5,457.5,496,504,541.5,535,612,533.5,500,528,534.5
327,300,378.5,465,276,448,481.5,393,352.5,381.5,252.5,364,381,380,347
396.5,447,487,420,381.5,413,468,358,459,295,425,381,273.5,436,380.5
397,356,390,389,413,388.5,427,398,390,360.5,413,404,479,491,418
482,451,512.5,514.5,507,533,503,493,482,476,469.5,483.5,510.5,495.5,493
547,736,680,604,578,683.5,662.5,576,657.5,622,484,699,510.5,575,554
203,182,190,236,196,239,228,222,225,251.5,199.5,195,231,187,225
482,566,484,535.5,515,513,484,490,546,456,539,584.5,603,552,548
494,579.5,548,573.5,477,478,463,456,405,446.5,591.5,589,518,510.5,497
666.5,754,651,692,588,689.5,671,731,1082,625,572,616,652,676,635
709,652,790,667.5,609,551,605,569,576.5,650,629,707.5,679,646,701
429,468,457.5,410.5,451.5,411.5,531,444,498,463.5,752.5,665,619,645,619
463,498,481,453,442,590,767,479,672.5,510,518,515,497,462,413
498,496,550,557,453.5,408.5,523,448,475.5,528,396,497.5,540,484.5,471
453.5,468,551.5,543.5,431,478,497,460,485,455,451,461,491,443,476
390.5,399,416.5,431.5,434,374,395,392,415,354,420,482,403,544,455.5
337,338,351.5,356,359,402.5,375,357,406,336,380.5,372.5,309,314,329
524,516.5,609,650,464,542,772,583,603,625.5,555,737,687,629,603
303,446.5,339,297,279,344,323,304,341.5,358,287,292,317.5,301,326
498,568.5,597,490.5,505,437,524,456,485.5,450,387.5,428,451,585.5,432
428,513.5,490,454.5,430,467,427,436.5,465,435,474,452,524.5,469,461
990.5,987,1000,1074,1041.5,905.5,857,835,880.5,883.5,997.5,973.5,922.5,958,964.5
630.5,576,699,583,645,779,609.5,624,627,650,697.5,550.5,626.5,611.5,582
393,452.5,548.5,459,404,424,424,409,409.5,422,341,410,427.5,388,378.5
457,514,528,438,510,599,424,474,470,541,469,463,468,457.5,488
432.5,450,512,434.5,506.5,436,415.5,393,424,420,416,397,375.5,433,390
426,418.5,473.5,475,495,478,606.5,524,534,520.5,468.5,519,574.5,535,488.5
404,490,474.5,513,426.5,525,371,411,384,403,464.5,436,406,339,394
502.5,547,569.5,532,491.5,576.5,532.5,519,520.5,481,422,464.5,567,458.5,480
391,464.5,447,361,407.5,423,496,476,560,495,478,467.5,441,395,449
571.5,808,738,629,579.5,494.5,552.5,473,543,589,543,589,537,651,499
529,556.5,567,593.5,627.5,654,752,534,805.5,643.5,673.5,742.5,580,638,616
426,488,507,540.5,519,321,344,353,386.5,445,406,415.5,436.5,357.5,371
469,564.5,516.5,535.5,499,461,453,481,530,531.5,469.5,605.5,582,596,532
755,635,555,829,647,544,599.5,575,753.5,691,773.5,674,901,908.5,626
601.5,958,603.5,698,487,529,531.5,495.5,699,583,557,843,673.5,540.5,568
650,651.5,675.5,573,769.5,665,623,591,626,605,633,690,720,545,576
611.5,589,731,678,620,455.5,491.5,493,546.5,547,874,839,715,821,806.5
586,613.5,639,613.5,672.5,424.5,406.5,423,447.5,407.5,516.5,493,547.5,540,487
449,472,516.5,508,533,538,451.5,481,429,478.5,555,462.5,535,672,509
554,588,560,525.5,623,550,452,452,623.5,411,492,398,617.5,502.5,509
456,550,521.5,485.5,438.5,418.5,498,387,400,393,396.5,425.5,433.5,370,389
353,386,403,310.5,337,363,315,336,390,269,367,346.5,489,346.5,360
522,679.5,474,734.5,581.5,408.5,437,445,686,399.5,635.5,520,469,697.5,495
605,737,695,703,550,681.5,786,548,610,561,628,616,595.5,608.5,583
303,320.5,356,342,310.5,302.5,313.5,284.5,272,283,345,361,348,385.5,322
466,546,433,462,472,718,630,622,616,583.5,552.5,598,515.5,508,505
507,514.5,604.5,470.5,494,592,512,499,599,490,572.5,551.5,564.5,538,521.5
482,608,545,647,541.5,518.5,585,501.5,408,424.5,721,543,633.5,538.5,521
414,378,425,395,464.5,456,413,404,421.5,442,470.5,431.5,431.5,487,426.5
1126,1394.5,997.5,1710,950.5,1112,1055,1023,1416,977,1214,1072,863,1111.5,880
587,556,635,708,576.5,546,454.5,558,503,516,532.5,658,600.5,605,552
455,497,457.5,441.5,446,528,477,487,511.5,574.5,507.5,509.5,465,559,487
375,445,493,470,294,310,395,342,375.5,286.5,373,391,431,413,348.5
283,366,217,326,382.5,330.5,369.5,314.5,392,319,415,363,322.5,323,313
255,234,236,274,223.5,272,210.5,215.5,301,223,214.5,209,284,252,236
468,507,476,426,505.5,511.5,535,537,608,517,562,556,543,568,555
343,369,389,394,351,351,360,338,327,293.5,381,415.5,398.5,337,364
468,537,486,509,533.5,493,515,454.5,468,476,489,464.5,470,529,476
344,383,375,322,278,360.5,388,350,386,345.5,298.5,299,453,376,343
314,335,271.5,344,327,317,341.5,307,341,320.5,402.5,324,285,339,297
361,328,385.5,381,375,295,366,314,299,307,379,377.5,327.5,317.5,350.5
318,288,335,426,274,298,333,277,342,262,328.5,310.5,327,239,311.5
322,336,393,357,334.5,318,310,295,339.5,364,266,276,368,247,275
257.5,270,273.5,228,317,267.5,272,264,258,244,365,346,320,379,298
390,374,471.5,450,331,482,437.5,413,505,339.5,483,366,451,385.5,433.5
361,361,340,438,317,321,392.5,356,373,372,363,367,313,398,342.5
348,350,362,355,363,327,369,352,356,358.5,409.5,428,443,378.5,378
593,585.5,600,597,604.5,586,608,582.5,596,590,562.5,561,571.5,594.5,564
322,358,340.5,228,316,412.5,273,329.5,285,346,431,462,421,453,364
308,329,397.5,345.5,351.5,269,306,292,288.5,292.5,298,377.5,323.5,333.5,316
281,350.5,334,313,356.5,267,250,265,272.5,313,308,338,376.5,356,346
377,397.5,403.5,301,397,414,441,410.5,403,412,213,221.5,223.5,276,289
378.5,362,341,402.5,379,224,271,290,387,232.5,246.5,317.5,352,326.5,318.5
423,428,511,477.5,430,527,456.5,431.5,469,490,533,423,487,455,450
306,312.5,372,366,347,267,328.5,266,302,272,285,356,323.5,319,275.5
450,497,467,432,470.5,466,443,422,412.5,399,476,424,447,437.5,418
298,298,243,307,257.5,278,319.5,267,260,283,249.5,395.5,283.5,311,289
383,422,379,361.5,406,446.5,414.5,406,410,352.5,434,391,441,417,406
574,583,602.5,585,587,606.5,580,593,607,593.5,553,595.5,620.5,554.5,586.5
302,406.5,413.5,319,294,285.5,300.5,272,324,226,195,365,263,411,282
528,588,529.5,537,571,427,446,473,373,492,588,484.5,507.5,599,542.5
293,322,317.5,277,360,307,372,299.5,299,235,249,214,396,315,316.5
530,508,506,565,522,423.5,390.5,388,438,372,482,444,512,474,431
